batch,requests,ok,errors,cache_hit_rate_pct,p50_ms,p95_ms,p99_ms,min_ms,max_ms,first_error
warm_cache,500,500,0,100.0,0.594538,0.8173498499999999,0.98016982,0.530373,1.189715,
cold_cache,500,500,0,0.0,2.4130015,4.73862495,6.058557619999999,1.285512,6.519018,
