consistency,elapsed_seconds,attempted,successful,errors,events_per_second,p50_ms,p95_ms,max_ms,error_types
ONE,30.005396,113536,113536,0,3783.852694,8.114759,15.005820,37.734346,none
LOCAL_QUORUM,30.011731,107155,107155,0,3570.437125,8.514505,16.010539,58.463311,none
ALL,30.010821,110314,110314,0,3675.807522,8.429691,15.593526,47.180155,none
